"LEGAL_NAME","ACCOUNT_TYPE_CODE","ACCOUNT_TYPE","PHYSICAL_ADDRESS_STATE","Physical_Address_ZIP_Code1"
"JASON PATTON & TERRELL SCOTT","1525","Retail Dealer","LA","70806"
"LISAMBIANCE DESIGN LLC","9999","No Occupational License","LA","70005"
"SOUTHGATE COUYONS LLC","1525","Retail Dealer","LA","70808"
"TERRANCE CLAY WILSON","1520","Service/Rental/Etc","LA","70805"
"MORVANT PRECAST CONCRETE PRODUCTS LLC","9999","No Occupational License","LA","70583"
"C & W PROFESSIONAL SERVICES LLC","1520","Service/Rental/Etc","LA","70816"
"JWJC LLC","1520","Service/Rental/Etc","LA","70808"
"ABUNDANTLY BLESSED BEAUTY & BARBER SALON LLC","1520","Service/Rental/Etc","LA","70806"
"BOOTCAMP XPLOSION LLC","1520","Service/Rental/Etc","LA","70817"
"MURRAY BOYS CUSTOM CARS & TRUCKS LLC","1525","Retail Dealer","LA","70817"
"GOLD RUSH SIGNS INC","9999","No Occupational License","LA","70062"
"KEEPING IT KOOL CLOTHING LLC","1525","Retail Dealer","LA","70714"
"CHOSEN HAIR SALON LLC","1520","Service/Rental/Etc","LA","70815"
"VIAL HOMES LLC","2710","Contractor","LA","70817"
"DEBT FREE AMERICA LLC","1520","Service/Rental/Etc","LA","70816"
"AMANDA ALLISON ORGES","1520","Service/Rental/Etc","LA","70816"
"COLEMAN TECHNOLOGIES INC","1520","Service/Rental/Etc","LA","70809"
"WILSON GROUP LLC","1520","Service/Rental/Etc","LA","70810"
"EMANUEL GRORGE CONSTANCE III","1520","Service/Rental/Etc","LA","70805"
"CASH CARRIERS LLC","9999","No Occupational License","LA","70123"
"DIXON SOLUTIONS LLC","1520","Service/Rental/Etc","LA","70806"
"AMAN ENTERPRISES INC","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70815"
"SHEAR ELEGANCE SALON LLC","1520","Service/Rental/Etc","LA","70815"
"LA FINANCIAL SERVICES INC","9999","No Occupational License","LA","70663"
"""UMBRELLA DRINKS UNLIMITED, LLC""","9999","No Occupational License","LA","70739"
"AMERICAN SPECIALTY GASES","9999","No Occupational License","LA","70785"
"ROCK N SAKE OF BATON ROUGE  LLC","1525","Retail Dealer","LA","70808"
"SONJA SMITH","1520","Service/Rental/Etc","LA","70812"
"BEHAVIORAL INTERVENTION GROUP LLC","1520","Service/Rental/Etc","LA","70810"
"JENNIFER WATSON","1520","Service/Rental/Etc","LA","70815"
"RUFFSOFT LLC","1520","Service/Rental/Etc","LA","70816"
"WOODFOREST NATIONAL BANK","9999","No Occupational License","LA","70809"
"HIS PUBLISHING CO","9999","No Occupational License","LA","70420"
"CBC MAINTENANCE LLC","1520","Service/Rental/Etc","LA","70807"
"FOOD & FUN CATERING LLC","1525","Retail Dealer","LA","70815"
"JENNIFER PALMER & CO INC","2090","Professional","LA","70806"
"NEXGEN TECHNOLOGY SOLUTIONS LLC","1520","Service/Rental/Etc","LA","70810"
"MORROW PAYTON","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70810"
"DENISE D SMALLS","1520","Service/Rental/Etc","LA","70805"
"WESTSIDE DIESEL INC","9999","No Occupational License","LA","70772"
"CONVERGINT TECHNOLOGIES LLC","9999","No Occupational License","LA","70087"
"TRANG VO","1525","Retail Dealer","LA","70806"
"LARD OIL COMPANY OF NEW ROADS LLC","9999","No Occupational License","LA","70726"
"PRIMARY PHARMA LLC","1610","Wholesale Dealer","LA","70817"
"2 TOOLS LLC","2710","Contractor","LA","70706"
"CENTRAL INVESTMENT GROUP LLC","9999","No Occupational License","LA","70791"
"STACY DAIGLE INC","2710","Contractor","LA","70805"
"WANDA FREEDMAN/TIFFANY CARTER/ALOMA D","1525","Retail Dealer","LA","70816"
"TREBLE L ARBUCKLE","1520","Service/Rental/Etc","LA","70816"
"ANTONIO D FARLEY","1520","Service/Rental/Etc","LA","70806"
"CARROLL HOME AND LAWN CARE LLC","1520","Service/Rental/Etc","LA","70815"
"A C MCQUIRTER JR","1520","Service/Rental/Etc","LA","70714"
"WJM ENTERPRISES LLC","1525","Retail Dealer","LA","70817"
"MERIAN R CARTER","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70802"
"TRUSOUTH OIL LLC","9999","No Occupational License","LA","71115"
"MUSE & SON ENTERPRISES LLC","1520","Service/Rental/Etc","LA","70815"
"APEX CONSTRUCTORS LLC","2710","Contractor","LA","70816"
"ALISSA PHILLIPS REALTY LLC","1822","Real Estate Broker","LA","70812"
"BEADED TREASURES BY MARIETTA LLC","9999","No Occupational License","LA","70764"
"TIGER BEND DISCOUNT ZONE LLC","1530","Retail Dealer of Motor Fuels","LA","70817"
"LTB ENTERPRISE LLC","9999","No Occupational License","LA","70714"
"IN HIS HANDS OF BR LLC","1520","Service/Rental/Etc","LA","70791"
"JUANITA P EDWARDS","2090","Professional","LA","70805"
"BRIAN LOW FINANCIAL GROUP LLC","1710","Finance Lending","LA","70810"
"BUZZOFF MOSQUITO LLC","1610","Wholesale Dealer","LA","70809"
"SPI COMMUNICATIONS INC","1525","Retail Dealer","LA","70805"
"TRYST COUTURE LLC","1520","Service/Rental/Etc","LA","70806"
"JAMES H ADAMS JR","2710","Contractor","LA","70805"
"A TAX SERVICE LLC","1520","Service/Rental/Etc","LA","70812"
"SHINE PLATE INC","1525","Retail Dealer","LA","70807"
"JOHN GUIDRY  &  JACHOB TAYLOR","1610","Wholesale Dealer","LA","70802"
"LONNIE D DIXON","1525","Retail Dealer","LA","70806"
"DON SHIELDS","2710","Contractor","LA","70808"
"NGUYEN INC","1525","Retail Dealer","LA","70820"
"OPENING SOLUTIONS MANUFACTURER INC","1610","Wholesale Dealer","LA","70817"
"ANJANETTE B SMITH","1520","Service/Rental/Etc","LA","70802"
"WILLIAM HOWE ENTERPRISES LTD","9999","No Occupational License","LA","70714"
"TEXANA SECURITY LLC","1520","Service/Rental/Etc","LA","70808"
"JOFFARY WINDOW COVERING & INTERIORS LLC","9999","No Occupational License","LA","70123"
"SYMMETRIC'S MANAGEMENT SERVICES LLC","1520","Service/Rental/Etc","LA","70806"
"JEANETTE W TGRINNEER","1520","Service/Rental/Etc","LA","70810"
"EYE CANDI JEWELRY LLC","1525","Retail Dealer","LA","70815"
"ST ELIZABETH HEALTH LLC","1520","Service/Rental/Etc","LA","70806"
"BARBARA BOWIE","1520","Service/Rental/Etc","LA","70815"
"SCRAPPIN 4 U LLC","9999","No Occupational License","LA","70769"
"DARCEY HAFNER","1525","Retail Dealer","LA","70808"
"AUNDREA R SMITH","1520","Service/Rental/Etc","LA","70819"
"DENICOLAS  LLC","1610","Wholesale Dealer","LA","70806"
"GARAGE DOOR OF LAFAYETTE LLC","9999","No Occupational License","LA","70503"
"LAFAYETTE PUBLISHING COMPANY LLC","9999","No Occupational License","LA","70501"
"AMRAMI FOOD INC","9999","No Occupational License","LA","70714"
"SMELL GOOD FOR LESS LLC","1520","Service/Rental/Etc","LA","70806"
"TOTAL EQUIPMENT MAINTENANCE LLC","9999","No Occupational License","LA","70090"
"WEI ZHENG","1525","Retail Dealer","LA","70809"
"MDM WHOLESALE STEAKS LLC","9999","No Occupational License","LA","70517"
"JACKSON ALTERNATIVE TRAINING INSTITUTE LLC","1520","Service/Rental/Etc","LA","70814"
"C & H COUNSELING SERVICE LLC","1520","Service/Rental/Etc","LA","70809"
"MICHAEL S HANEMANN JR MD LLC","2090","Professional","LA","70808"
"BATHROOMS R US LLC","2710","Contractor","LA","70816"
"MADE TO GO TRUCKSTOP LLC","1530","Retail Dealer of Motor Fuels","LA","70807"
"RAY CHARLES PORTER JR","1525","Retail Dealer","LA","70802"
"A-Z BAIL BONDS LLC","1520","Service/Rental/Etc","LA","70809"
"ARMADILLO LINERS OF BATON ROUGE LLC","1525","Retail Dealer","LA","70816"
"NODIA INC","1520","Service/Rental/Etc","LA","70815"
"ELITE CARE TRANSPORTATION SERVICES LLC","1520","Service/Rental/Etc","LA","70817"
"HAYES CODDOU","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70805"
"RLB ENTERPRISES LLC","1520","Service/Rental/Etc","LA","70815"
"ROY PHELPS DESIGNS INC","9999","No Occupational License","LA","70776"
"SUPERIOR PROFESSIONAL SERVICES LLC","1520","Service/Rental/Etc","LA","70791"
"MAGNETIC TREASURES INC","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70445"
"MOTO MOTO SMOKEHOUSE BARBECUE LLC","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70817"
"GEORGE H HEARD","1520","Service/Rental/Etc","LA","70808"
"ELLIS HATHAWAY","1525","Retail Dealer","LA","70810"
"1699 LLC","1520","Service/Rental/Etc","LA","70808"
"RENDEZVOUS BAR AND LOUNGE LLC","1525","Retail Dealer","LA","70805"
"TANNER SERVICES LLC","9999","No Occupational License","LA","70535"
"TC SYSTEMS INC","9999","No Occupational License","LA",""
"VIZION MEDIA SOLUTIONS LLC","1520","Service/Rental/Etc","LA","70827"
"SLY FOX INVESTIGATIONS LLC","1520","Service/Rental/Etc","LA","70810"
"NGUYEN UYEN VU","1520","Service/Rental/Etc","LA","70815"
"BILLY RESTER","2710","Contractor","LA","70816"
"JPS EVENT STAFFING & MANAGEMENT INC","1520","Service/Rental/Etc","LA","70809"
"SAMUEL ROYAL","2710","Contractor","LA","70814"
"SANG W LEE","1525","Retail Dealer","LA","70806"
"S & R DEVELOPMENT INC OF MISSISSIPPI","9999","No Occupational License","LA","70726"
"SFS LLC","1525","Retail Dealer","LA","70810"
"1699 LLC","1520","Service/Rental/Etc","LA","70806"
"NOLAND COMPANY","1525","Retail Dealer","LA","70816"
"B KIDS LLC","1525","Retail Dealer","LA","70805"
"LESLEE SANDIFER","1525","Retail Dealer","LA","70802"
"THERESE DINH DDS LLC","2090","Professional","LA","70815"
"JAZZ AUTO REPAIR AND REPLACEMENT LLC","1520","Service/Rental/Etc","LA","70816"
"SWEET SPROUT LLC","1525","Retail Dealer","LA","70809"
"ERICA SPEARS","1525","Retail Dealer","LA","70810"
"LITTLE LADIES & LORDS LLC","1525","Retail Dealer","LA","70816"
"TACOS AND BURRITOS EXPRESS 2 LLC","1525","Retail Dealer","LA","70815"
"TACOS AND BURRITOS EXPRESS 2 LLC","1525","Retail Dealer","LA","70815"
"POWER TORQUE SERVICES LLC","9999","No Occupational License","LA","70363"
"BLUEBERRY MOON PHOTOGRAPHY LLC","1520","Service/Rental/Etc","LA","70806"
"TOAN DANG","1520","Service/Rental/Etc","LA","70814"
"CRESCENT POS LLC","9999","No Occupational License","LA","70001"
"APPLIED ENGINEERING SOLUTIONS INC","2090","Professional","LA","70809"
"KPVANCE DESIGNS LLC","1525","Retail Dealer","LA","70809"
"PROFESSIONAL MEETING PARTNERS LLC","1520","Service/Rental/Etc","LA","70817"
"FIRE & SAFETY SPECIALISTS INC","9999","No Occupational License","LA","70555"
"MARUCCI SPORTS LLC","1525","Retail Dealer","LA","70809"
"GALVOTEC CORROSION SERVICES LLC","9999","No Occupational License","LA","70058"
"MANAGE-TRACK LLC","1520","Service/Rental/Etc","LA","70820"
"AFFORDABLE MASSAGE LLC","1520","Service/Rental/Etc","LA","70806"
"SOIBIBO LUCKY ABBIYESUKU","1525","Retail Dealer","LA","70814"
"ANHMY LLC","1520","Service/Rental/Etc","LA","70815"
"GOSA INC","1520","Service/Rental/Etc","LA","70815"
"HOPE HAVEN MARBLE & GRANITE LLC","9999","No Occupational License","LA","70737"
"WSTS INDUSTRIAL SUPPLY LLC","1610","Wholesale Dealer","LA","70791"
"R W PIZZA ENTERPRISES INC","1525","Retail Dealer","LA","70808"
"DAVID MCCORD","1520","Service/Rental/Etc","LA","70816"
"PALADIN GENERATOR & EQUIPMENT RENTALS OF LA LLC","1520","Service/Rental/Etc","LA","70806"
"PIT CREW BARBEQUE & MORE LLC","9999","No Occupational License","LA","70818"
"LATE NIGHT GROUP LLC","1525","Retail Dealer","LA","70802"
"CLASSIC ANTIQUE PINE PRODUCTS LLC","9999","No Occupational License","LA","70739"
"KYSON NGUYEN LLC","1525","Retail Dealer","LA","70816"
"ADVANCED RECOVERY SERVICE LLC","1520","Service/Rental/Etc","LA","70806"
"COMMERCIAL FLOORING GULF COAST LLC","9999","No Occupational License","LA","70123"
"NEVELS TECHNOLOGY LLC","1520","Service/Rental/Etc","LA","70816"
"LITTLE LADIES & LORDS LLC","1525","Retail Dealer","LA","70816"
"THRU TUBING SOLUTIONS INC","9999","No Occupational License","LA","70360"
"CUSTOM METAL BUILDING PRODUCTS","9999","No Occupational License","LA","70129"
"JAI HANUMAN INC","1525","Retail Dealer","LA","70806"
"MAX ONE INC","1530","Retail Dealer of Motor Fuels","LA","70815"
"MAGPIE ROBIN INC","1525","Retail Dealer","LA","70806"
"GERMAN AUTO SALES & SERVICE","2640","Retail Autos & Boats","LA","70819"
"ANDYS COMPLETE CAR CARE INC","1520","Service/Rental/Etc","LA","70806"
"ERIC PATTERSON","1525","Retail Dealer","LA","70816"
"SEMTECH TECHNOLOGY SERVICES LLC","1525","Retail Dealer","LA","70808"
"ANNIE R HARRIS","1525","Retail Dealer","LA","70802"
"REPUBLIC SALON TEA ROOM AND BOUTIQUE LLC","1520","Service/Rental/Etc","LA","70808"
"LOU'S BARBER SHOP LLC","1520","Service/Rental/Etc","LA","70801"
"AUDREY M HAYES","1520","Service/Rental/Etc","LA","70810"
"SPIRIT OF TRUTH MINISTRIES LLC","1520","Service/Rental/Etc","LA","70805"
"PRINTPROS LLC","1520","Service/Rental/Etc","LA","70809"
"SINGLE BEAN COFFEE CO LLC","9999","No Occupational License","LA","70433"
"PUTERJUNKIE LLC","9999","No Occupational License","LA","70739"
"CORKS N CANVAS LLC","1520","Service/Rental/Etc","LA","70806"
"BITS AND BYTES LLC","9999","No Occupational License","LA","70791"
"VW DESIGNS LLC","1520","Service/Rental/Etc","LA","70815"
"CAPELLA UNIVERSITY INC","1525","Retail Dealer","LA","70816"
"JUN LIN XIAO","1525","Retail Dealer","LA","70806"
"MICO MECHANICAL LLC","2710","Contractor","LA","70806"
"COMMAND CONSTRUCTION INDUSTRIES LLC","9999","No Occupational License","LA","70002"
"FLEUR DE LIS EVENTS LLC","9999","No Occupational License","LA","70769"
"BRANDON MILES","9999","No Occupational License","LA","70769"
"SWEENEY ENTERPRISES LLC","1520","Service/Rental/Etc","LA","70433"
"EUN KYONG LOY","1525","Retail Dealer","LA","70802"
"KEEGAN DENICOLA KIESEL BAGWELL JUBAN & LOWE LLC","2090","Professional","LA","70808"
"J. C. MODELING ENT LLC","1520","Service/Rental/Etc","LA","70820"
"FROCK CANDY CORPORATE BLVD LLC","1525","Retail Dealer","LA","70809"
"FROCK CANDY CORPORATE BLVD LLC","1525","Retail Dealer","LA","70809"
"TALK WIRELESS PLUS LLC","1520","Service/Rental/Etc","LA","70814"
"BD KITCHEN CO LLC","1525","Retail Dealer","LA","70809"
"JERIMEE NAQUIN","1520","Service/Rental/Etc","LA","70814"
"RENDES FOOD INC","1525","Retail Dealer","LA","70815"
"WEBOVATION STUDIOS LLC","9999","No Occupational License","LA","70706"
"COMEAUX FURNITURE & APPLIANCE CO INC","9999","No Occupational License","LA","70005"
"DOLPHIN ENERGY EQUIPMENT INC","9999","No Occupational License","LA","70560"
"TIM P HIGGINS INC","9999","No Occupational License","LA","70449"
"LINDA HYATT BABIN CPA","2090","Professional","LA","70810"
"EVERGREEN LANDSCAPE MANAGEMENT LLC","1520","Service/Rental/Etc","LA","70817"
"ROCKABILLY DENIM COMPANY LLC","1520","Service/Rental/Etc","LA","70808"
"SANDRA DUNCAN","1520","Service/Rental/Etc","LA","70714"
"KIMBELYN B SEARLES","1525","Retail Dealer","LA","70812"
"LOUISIANA MALE INSTITUTE LLC","2090","Professional","LA","70816"
"SHELIA A LEGARDE","1520","Service/Rental/Etc","LA","70806"
"HAYES NATURAL PRODUCTS LLC","1525","Retail Dealer","LA","70817"
"THREE TWENTIES LOUNGE LLC","1525","Retail Dealer","LA","70811"
"RIDDICK & ASSOCIATES INC","1525","Retail Dealer","LA","70806"
"RUE BEIGNET LLC","1525","Retail Dealer","LA","70809"
"AIDANS IRISH PUB & GRILL LLC","1525","Retail Dealer","LA","70816"
"DATARI GROUP LLC","9999","No Occupational License","LA","70739"
"LENORA STERLING","9999","No Occupational License","LA","70714"
"ROMAN STONES LLC","2710","Contractor","LA","70809"
"PET PARLOR PET GROOMING LLC","1520","Service/Rental/Etc","LA","70814"
"BROCK GOMEZ PRODUCTIONS LLC","9999","No Occupational License","LA","70070"
"TOP CHOICE INC","2023","Rolling Vendor","LA","70810"
"TOP CHOICE INC","2023","Rolling Vendor","LA","70808"
"HUGZ PERSONAL CARE SERVICE LLC","1520","Service/Rental/Etc","LA","70815"
"MALCOLM  BRUMFIELD","2710","Contractor","LA","70807"
"ULTIMATE BUILDING SOLUTIONS LLC","2710","Contractor","LA","70806"
"HUONG THI MAI","1520","Service/Rental/Etc","LA","70807"
"BERTS UNIVERSAL FLOORING CO LLC","2710","Contractor","LA","70814"
"SARA A KIMBROUGH","1525","Retail Dealer","LA","70815"
"MAO XI LIN","1525","Retail Dealer","LA","70816"
"BRANDON S LATOUR","2710","Contractor","LA","70808"
"PYEONG C KIM","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70816"
"MY PHONE MD LLC","1520","Service/Rental/Etc","LA","70806"
"HN HOLDINGS LLC","1520","Service/Rental/Etc","LA","70809"
"INVESTAR BANK","9999","No Occupational License","LA","70808"
"ACTION SPORTSWEAR INC","2023","Rolling Vendor","LA","70836"
"ACTION SPORTSWEAR INC","2023","Rolling Vendor","LA","70806"
"ANCU BUI NGUTEN","1520","Service/Rental/Etc","LA","70805"
"AUCTION LOUISIANNNE INC","9999","No Occupational License","LA","70434"
"DWIGHT WRIGHT JR","1520","Service/Rental/Etc","LA","70805"
"A 1 TOWING & HAULING LLC","1520","Service/Rental/Etc","LA","70806"
"SEDRIC CURRY","1520","Service/Rental/Etc","LA","70809"
"SCHLITTZ & GIGGLES PERKINS LLC","1525","Retail Dealer","LA","70808"
"HIDDEN JEWEL LLC THE","1525","Retail Dealer","LA","70815"
"HANH HOANG P","1520","Service/Rental/Etc","LA","70816"
"JONATHAN & SHELETTA WILLIAMS","1520","Service/Rental/Etc","LA","70806"
"DALVIN R WEBB SR","1525","Retail Dealer","LA","70806"
"ACTION SPORTSWEAR INC","2023","Rolling Vendor","LA","70802"
"DENISE LYNELL GAINES","1520","Service/Rental/Etc","LA","70812"
"MICHAEL SHALLOW","2023","Rolling Vendor","LA","70816"
"MICHAEL A SHALLOW","2023","Rolling Vendor","LA","70816"
"MICHAEL A SHALLOW","2023","Rolling Vendor","LA","70809"
"GULF BREEZE INVESTMENTS INC","1520","Service/Rental/Etc","LA","70806"
"ELITE PORTABLE BUILDINGS LLC","2710","Contractor","LA","70810"
"NICK'S ENTERPRISES INC","2023","Rolling Vendor","LA","70816"
"BIZZY BEE RESTAURANT INC","1525","Retail Dealer","LA","70807"
"JOHN WESLEY MYERS","9999","No Occupational License","LA","70791"
"CHO TRAN","1520","Service/Rental/Etc","LA","70805"
"B & M ENTERPRISE LLC","1520","Service/Rental/Etc","LA","70810"
"MINCHEW RODOSTA WEALTH MANAGEMENT","1820","Commissioned Services","LA","70809"
"IREPTHEBOOT LLC","1525","Retail Dealer","LA","70820"
"JETTS ENTERPRISES INC","9999","No Occupational License","LA","70791"
"CURATIVE ADVISORS LLC","1520","Service/Rental/Etc","LA","70810"
"L&G CONCESSIONS INC","2023","Rolling Vendor","LA","70815"
"L & G CONCESSION INC","2023","Rolling Vendor","LA","70806"
"ROUSSEL HOME MAINTENANCE LLC","2710","Contractor","LA","70808"
"GREEN ENERGY SOLUTIONS OF LOUISIANA LLC","2710","Contractor","LA","70806"
"OOOO ENTERPRISES LLC","1520","Service/Rental/Etc","LA","70817"
"GD HEAT AND AIR LLC","2710","Contractor","LA","70817"
"BERLYN HUGHES & NANCY KELLY","1520","Service/Rental/Etc","LA","70810"
"JJ LAWN & LANDSCAPE LLC","1520","Service/Rental/Etc","LA","70811"
"ANTHONY BATTAGLIA","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70817"
"BOBBY L RUSS","2710","Contractor","LA","70805"
"FREDERICK BALL","1520","Service/Rental/Etc","LA","70806"
"BATON ROUGE REHABILITATION HOSPITAL LLC","1520","Service/Rental/Etc","LA","70809"
"K9 KREWE LLC","1520","Service/Rental/Etc","LA","70806"
"VAUGHN GALLERY LLC","1525","Retail Dealer","LA","70810"
"BONFANTI STATE INSPECTIONS LLC","1520","Service/Rental/Etc","LA","70815"
"SALON VITA INC","1520","Service/Rental/Etc","LA","70810"
"BATON ROUGE YOGURT LLC","1525","Retail Dealer","LA","70808"
"MARY & JAMES LUMKINS","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70807"
"RANDOLPH FOODS LLC","1525","Retail Dealer","LA","70805"
"LESTER KNOTT","9999","No Occupational License","LA","70791"
"MEDIA LOGIX LLC","1525","Retail Dealer","LA","70819"
"SOUTHGATE COUYONS LLC","1525","Retail Dealer","LA","70808"
"DOUBLE Z LLC","1525","Retail Dealer","LA","70809"
"GOLDEN GIRLS CLEANING SERVICE LLC","1520","Service/Rental/Etc","LA","70815"
"ANDY P LATIOLAIS","9999","No Occupational License","LA","70517"
"DENISE B. ELLER","9999","No Occupational License","LA","70739"
"MELISSAS PIZZA AMR LLC","9999","No Occupational License","LA","70791"
"ARELUIA M JOHNSON","1520","Service/Rental/Etc","LA","70802"
"HARVEST MEDICAL TRANSPORTATION LLC","1520","Service/Rental/Etc","LA","70805"
"C M LONG INC","9999","No Occupational License","LA","70601"
"PANACEA LLC","1525","Retail Dealer","LA","70810"
"""COATING SYSTEMS AND SUPPLY, LLC""","1610","Wholesale Dealer","LA","70815"
"SHALATHA RICHARDSON","1520","Service/Rental/Etc","LA","70816"
"LIPSEY COMMUNICATIONS LLC","1525","Retail Dealer","LA","70816"
"INTRALOT INC","1520","Service/Rental/Etc","LA","70816"
"""KOTHE CONTRACTING & CONSTRUCTION MANAGEMENT,LLC""","2710","Contractor","LA","70810"
"REEDS METALS OF SULPHUR LA  INC","9999","No Occupational License","LA","70663"
"SHIRLEY M BERRY","1525","Retail Dealer","LA","70805"
"THE CLEAN KING OF BATON ROUGE LLC","1520","Service/Rental/Etc","LA","70814"
"SECRET BRIAN SOCIETY LLC","1520","Service/Rental/Etc","LA","70814"
"BELLAPOSA COLLECTION LLC","1525","Retail Dealer","LA","70817"
"QUALITY SITEWORK MATERIALS INC","1610","Wholesale Dealer","LA","70815"
"CHRISTENSEN FINANCIAL INC","1710","Finance Lending","LA","70815"
"ULTIMATE LANDSCAPES LLC","1520","Service/Rental/Etc","LA","70805"
"OBDEDGE LLC","1610","Wholesale Dealer","LA","70806"
"ECHELON INTERIORS INC","1520","Service/Rental/Etc","LA","70817"
"BEST SHOTS LLC","1520","Service/Rental/Etc","LA","70817"
"""BEERS OF OLDE BELGIUM SALES, LLC""","9999","No Occupational License","LA","70380"
"BRITTANY A DICKS","1520","Service/Rental/Etc","LA","70806"
"WANDA F COLLINS","1525","Retail Dealer","LA","70811"
"EMILY HEARD MIRANDA","1525","Retail Dealer","LA","70810"
"ACADIAN ROOFING LLC","9999","No Occupational License","LA","70508"
"SILVERLINE SECURITY LLC","1520","Service/Rental/Etc","LA","70816"
"DONALD SCOTT & SHERVIN SCOTT","2710","Contractor","LA","70810"
"RENT A CENTER EAST INC","1525","Retail Dealer","LA","70806"
"RENT A CENTER EAST INC","1525","Retail Dealer","LA","70805"
"HEATHER JONES","1525","Retail Dealer","LA","70817"
"THE RECOVERY CENTER OF BATON ROUGE LLC","1520","Service/Rental/Etc","LA","70806"
"HOSEA LYLE VEALS","9999","No Occupational License","LA","70812"
"ROCK N SAKE OF BATON ROUGE LLC","1525","Retail Dealer","LA","70808"
"""ALL STAR CHEVROLET NORTH, L.L.C.""","2640","Retail Autos & Boats","LA","70811"
"WILLIE STEPHENS JR","1520","Service/Rental/Etc","LA","70816"
"NURSING WITH CARE LLC","1520","Service/Rental/Etc","LA","70806"
"TRACY JORDAN LLC","2710","Contractor","LA","70814"
"KBD ENTERPRISE LLC","1525","Retail Dealer","LA","70809"
"UNITED COMMUNICATIONS LLC GA","1520","Service/Rental/Etc","LA","70809"
"PHYLLIS B COOLEY","9999","No Occupational License","LA","70714"
"NICOLE MAGEE","1525","Retail Dealer","LA","70814"
"ECOSYSTEM MANAGEMENT GROUP LLC","1520","Service/Rental/Etc","LA","70817"
"LONDON BRIDGE EARLY LEARNING CENTER LLC","1520","Service/Rental/Etc","LA","70816"
"PROFESSIONAL MAILING & PRINTED PRODUCTS INC","1525","Retail Dealer","LA","70809"
"JONATHAN NAUCK","1525","Retail Dealer","LA","70806"
"GUMBEAUXS OF LA LLC","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70802"
"BIG RIVER PEST SOLUTIONS LLC","1520","Service/Rental/Etc","LA","70810"
"DANNIELLE M SMITH","1525","Retail Dealer","LA","70820"
"TOTAL MANAGEMENT GROUP LLC","1520","Service/Rental/Etc","LA","70818"
"RAYMOND MANCHESTER","1520","Service/Rental/Etc","LA","70806"
"REX PHOTOBOOTH COMPANY LLC","1520","Service/Rental/Etc","LA","70810"
"JOHN & STEPHANIE WHITE","2023","Rolling Vendor","LA","70816"
"CWL CONTRACTORS LLC","2710","Contractor","LA","70809"
"SOLID STEEL SALES & CONSTRUCTION LLC","9999","No Occupational License","LA","70739"
"JOSHUA LAMBERT","1610","Wholesale Dealer","LA","70810"
"ORLANDO JOHNSON","2710","Contractor","LA","70807"
"MMR DENTAL LLC","2090","Professional","LA","70808"
"LATICHA P RUFFIN","1520","Service/Rental/Etc","LA","70807"
"GENERATOR SUPERCENTER","1520","Service/Rental/Etc","LA","70806"
"CASSANO CONSTRUCTION LLC","2710","Contractor","LA","70816"
"VASCULAR SPECIALTY CENTER LLC","2090","Professional","LA","70809"
"TREYS BOUNCEY HOUSES LLC","1520","Service/Rental/Etc","LA","70816"
"ANTHONY M LOWERY","2060","Special Events","LA","70815"
"WARRIOR ENERGY SERVICES CORP","9999","No Occupational License","LA","70518"
"AMAZING LOVE TRANSPORTATION CORPORATION","1520","Service/Rental/Etc","LA","70808"
"DEBORAH DAY","1520","Service/Rental/Etc","LA","70817"
"KENTRELL NARCISSE","1520","Service/Rental/Etc","LA","70726"
"MARKUS LAFAYETTE","1520","Service/Rental/Etc","LA","70807"
"ASSOCIATED TIRE SERVICES INC","1520","Service/Rental/Etc","LA","70815"
"ANDRE HUMPHREY","1520","Service/Rental/Etc","LA","70815"
"JOHNSONS MEDICAL TRANSPORTATION LLC","1520","Service/Rental/Etc","LA","70805"
"SHEKINAH FLOORING LLC","2710","Contractor","LA","70816"
"ASKIA L DUNN","1520","Service/Rental/Etc","LA","70802"
"ROSS ICE LLC","1520","Service/Rental/Etc","LA","70816"
"RENEW HOME IMPROVEMENTS AND RENOVATIONS LLC","2710","Contractor","LA","70817"
"SANDLOT INVESTMENTS LLC","1525","Retail Dealer","LA","70817"
"CYBERTRONIC COATINGS LLC","9999","No Occupational License","LA","70454"
"FISHERBILL INC","1520","Service/Rental/Etc","LA","70815"
"TECHNICAL MAINTENANCE SERVICES LLC","9999","No Occupational License","LA","70785"
"H2 COMPLIANCE CONSULTANTS LLC","1520","Service/Rental/Etc","LA","70814"
"LLOYD JR LLC","1520","Service/Rental/Etc","LA","70815"
"ST MARTIN FOOD MART INC","1525","Retail Dealer","LA","70812"
"THE DUCK OFF OF BATON ROUGE LLC","1525","Retail Dealer","LA","70806"
"DAMON STEWART","1520","Service/Rental/Etc","LA","70815"
"MARCELLOS WINE WAREHOUSE LLC","1525","Retail Dealer","LA","70808"
